IP地址	端口	回源端口	TLS	数据中心	地区	国家	城市	TCP延迟(ms)	速度(MB/s)
18.226.164.76	443	443	TRUE	IAD	North America	US	Ashburn	239	8.15
3.22.181.233	443	443	TRUE	IAD	North America	US	Ashburn	345	8.15
3.142.43.98	443	443	TRUE	IAD	North America	US	Ashburn	277	8.15
18.220.219.192	443	443	TRUE	IAD	North America	US	Ashburn	290	8.15
18.216.56.39	443	443	TRUE	IAD	North America	US	Ashburn	411	8.14
3.147.70.185	443	443	TRUE	IAD	North America	US	Ashburn	245	8.14
54.219.128.169	80	443	TRUE	SJC	North America	US	San Jose	223	8.14
54.176.113.170	80	443	TRUE	SJC	North America	US	San Jose	315	8.14
3.14.130.47	443	443	TRUE	IAD	North America	US	Ashburn	462	8.14
3.139.233.195	443	443	TRUE	IAD	North America	US	Ashburn	259	8.13
18.220.186.69	443	443	TRUE	IAD	North America	US	Ashburn	251	8.13
18.222.173.246	443	443	TRUE	IAD	North America	US	Ashburn	234	8.13
67.226.223.4	80	443	TRUE	LHR	Europe	GB	London	428	8.13
18.218.54.201	443	443	TRUE	IAD	North America	US	Ashburn	392	8.13
3.16.48.247	443	443	TRUE	IAD	North America	US	Ashburn	281	8.13
67.226.221.102	443	443	TRUE	SJC	North America	US	San Jose	208	8.13
3.14.253.196	443	443	TRUE	IAD	North America	US	Ashburn	318	8.12
3.16.137.65	443	443	TRUE	IAD	North America	US	Ashburn	257	8.12
52.14.88.73	443	443	TRUE	IAD	North America	US	Ashburn	407	8.12
3.139.82.116	443	443	TRUE	IAD	North America	US	Ashburn	318	8.12
3.21.204.214	443	443	TRUE	IAD	North America	US	Ashburn	324	8.12
3.148.105.128	443	443	TRUE	IAD	North America	US	Ashburn	227	8.12
54.177.196.101	80	443	TRUE	SJC	North America	US	San Jose	211	8.12
52.32.240.190	443	443	TRUE	PDX	North America	US	Portland	260	8.11
3.136.11.219	443	443	TRUE	IAD	North America	US	Ashburn	441	8.11
3.17.128.180	443	443	TRUE	IAD	North America	US	Ashburn	276	8.11
18.118.51.183	443	443	TRUE	IAD	North America	US	Ashburn	342	8.11
